number,review
0,"Original review: Nov. 14, 2019
I’m not huge on ride share or using anything that involves giving my bank info to a company. When using Uber for the first time I was very surprised at how competitive the prices were. Getting a ride from the casino was 79$ from a taxi and 36$ from Uber! I was shocked. The drivers are cool and do there best to make sure I was comfortable. The only bad part is the lack of rewards we can get and the discounts are only temporary and they’re given when they want to give add them to our account. And they come with restrictions. They combined it with Uber eats but they don’t offer it in my area which is a disappointment for sure. 
I’m very happy though they have Uber gift cards which allows me to not use a bank account and comes handy cause you never know when you could get stranded as we all at some point in our lives. I’ve had no bad experiences so far. Just make sure you grab everything before you leave the car as they really don’t look to see if you left anything behind. I’ve found many things left by prior customers and know how frustrating it can be.

                    
                "
1,"Original review: Nov. 8, 2019
I do not have Uber in the area where I live. But I use it whenever I travel in Mexico and the US. The worst experience I've had, in my 2 years of using Uber, was in San Francisco. I waited 14 minutes for a driver who didn't show up. He somehow canceled and went elsewhere, and I found out the hard way. It was annoying, but didn't cost me anything but my time. The overwhelming majority of times I have used Uber were great. Nice drivers who showed up on time, drove safely and gave great service. Most Uber drivers go above and beyond. They are happy to give travel tips to tourists and help with luggage. I always feel safe with Uber as I have the Uber car's description and license tag, plus a picture of the driver."
2,"Original review: March 18, 2019
I’ve never used Lyft before, and the only cab company is highly ineffective. Uber, oddly enough, has attracted highly qualified, a very polite, drivers who drive Uber to earn extra money. I enjoy that scheduling a ride is simple through a smartphone application. Once Uber detects the local drivers, via GPS, it directs the closest driver who’s available and provides an estimated time to wait, and an estimated time a arrival to your destination. Uber also allows users to estimate the cost of rides in advance. Also, Uber allows the rider to tip directly from the application and also rate the driver. I’ve never had an issue with any Uber driver I’ve used. It’s more uncommon for me now, but every so often I do use Uber."
3,"Original review: March 16, 2019
I've never had a negative experience with Uber. It was the one I downloaded first while in college and the one I've continue to use these past 3 or so years. Some experiences have been better than others but in my opinion the drivers probably have had a worse experience. The rides I've enjoyed the most were the ones when myself and the driver have respected each other's privacy, acted courteously and professional. I have witnessed people trash and throw up all over a driver's car, and that's not alright. I think the thing that has begun to creep into the way I view Uber is all of its negative publicity. Why would I support an enterprise that I don't agree with? It's not like I am dependent on Uber. I can use other ridesharing apps, I can use a traditional taxi, I can even use public transportation. Despite all of this, I still use Uber but that might not always be the case."
4,"Original review: March 15, 2019
I have always been skeptical about rideshare services because of the news reports of assaults and robberies. I used this company for the first time earlier this year during a trip for a conference in Las Vegas. My first ride was excellent and was completed without a problem. My second ride was a little scary. I requested a ride but then my phone died. I was with a friend. While I was trying to recharge my phone, my friend came to me to tell me that our ride had arrived As we got in the car, I had an uneasy feeling. I started asking the driver ""who"" he was there to pick up and if he knew where we were going. He never gave me a straight answer and my friend had already told him where we were going. 
My suspicions were confirmed when the driver rolled down his window to yell out to a group of women who appeared to be streetwalkers. Also, when we arrived at our hotel, he quoted a price higher than the Uber app quoted. I was subsequently charged a ""missed ride"" fee by Uber because their showed to get us after we had left with the ""imposter"". I explained what happened to the customer service rep and they kindly changed their fee to a credit towards my next ride.

                    
                "
5,"Original review: Feb. 9, 2020
I order Uber for my friend home from party. They make little mess on floor. They charged me $150.00 for cleanup. After contact they adjusted to $80.00 charged for little spot cleaned. Your must be very be careful with Uber or uber driver."
6,"Original review: Feb. 8, 2020
This happened on 02/06/2020 - So the car I drive has been having some issues and I needed to drop it off at my local Burt Brothers. I didn't have a way to get back home so I thought I would use an Uber gift card I got from my work to help me get home. Oh, I WISH I had gone with Lyft. Issue number one - Uber's navigation decided to go out so I had to be ""Siri"" and guide my driver to my home (not a huge issue since it wasn't too far away). Issue number 2 - I go to give my driver a tip and rate him and again, Uber systems are down and acting crazy. Issue number 3 - For an 8.5-mile drive, I got charged $33.00 when it should have been $15.00 (thank GOD I used a gift card and not a debit card!)
Issue number 4 - WHAT COMPANY DOESN'T HAVE A CUSTOMER SERVICE PHONE NUMBER OR AT LEAST A CHAT?!?! I had to get hold of someone (probably a robot) via Twitter!! Then when I try to communicate with them through email all I get are replies like ""We apologize for the issue you’re seeing. This is a known issue and our team is actively working to resolve it. We appreciate your patience as we work on this and can provide additional details as they become available."" So Uber doesn't even know WHY they're double charging their customers?! My advice? Either get Lyft, phone a friend, walk, ANYTHING but Uber.

                    
                "
7,"Original review: Feb. 7, 2020
I have only rode with Uber a couple of times and it has been one of my worse experiences. I scheduled a pick up with a driver and before exiting his vehicle I asked if he could wait on me to pick up a few items in the store, he said no problem. He said, ""You will have to cancel my pick up and once you reschedule since I am already here the call will be directed to me."" Not knowing any better, I did as I was instructed. Well that trip turned out to be a nightmare. I schedule another driver as instructed and got two other drivers trying to get the pick up, so the first says just cancel the pick up, well guess what. Once you cancel a pick up that's an automatic charge.
I contacted the second driver and he said, ""Well once you schedule another driver it's charged and I don't have anything to do with that."" The third driver said, ""You will have to cancel the trip and call Uber and they will give you a credit."" Well guess what. I contacted Uber and they politely give me a credit for the cancellation and then the next day reversed the charge and refuses to respond to my complaints about the situation.
What can you say other than poor service and charging customers for incorrect information giving by your drivers. As a business that does not train their driver to be on the same page, you should do the right thing and take of your customers and treat them as they matter, because pretty easy to communicate with other about your experience and the normally people don't tend to forgot. Honestly, I feel as a company that is trying to expand more and more, it doesn't take much to fail due to the lack of poor business. As many complaint that Uber have it going to be a company eventually that will fail due to poor business decisions and mistreating customers.

                    
                "
8,"Original review: Feb. 6, 2020
If I could give no stars- I would. UBER and customer support a zero. UBER charged more than what I was quoted. The map Uber gives their driver from the pier to Long Beach Airport was wrong. No airplanes in site following the UBER directions. We were going in circles. I finally pulled out my maps TO direct driver to correct location. Obviously UBER directs their drivers to the wrong location all the time. The address is a commercial business not LONG BEACH AIRPORT. The business made a commercial sign to tell UBER drivers this is not the LONG BEACH AIRPORT.??? It appears UBER is charging me an additional fare to go around in circles. It's a good thing I requested a ride hours before my flight. And all the agents in customer support are donkeys. How hard is it to understand what I just said. They have not adjusted my fare."
9,"Original review: Feb. 6, 2020
Not only worst customer service... there is NO customer service available and NO ONE to contact. I took 3 rides on 2/1/20. My account shows 3 rides that I actually took 3 rides totaling charges $43.54 with tips. Verified in my trips on the app. My bank account is being charged a different amount of $62.23. That's $18.69 they didn't earn. The worst part is the app sucks with NO way to contact anyone for resolution. I am contacting my bank tomorrow and filing chargebacks. In addition, I'm moving my biz to Lyft from now on. It appears it's all set up, so they can screw potentially thousands of people out of small amounts they may not notice and stick in Uber's pocket. IMHO it's thievery. Filing a BBB complaint."
10,"Original review: Feb. 2, 2020
Driver was on his way with our food as we could see his progress with the GPS. He decided not to come and made off with the food. $51.00 down the drain. Restaurant is no longer answering the phone and you can't speak to anyone at Uber."
11,"Original review: Jan. 31, 2020
As a university professor there is little problem dropping me at the garage structure near my office, But returning home is a terrible problem. The pickup point does not show for the Uber driver and even when talking with him or her on the phone as s/he make her way slows the process considerably. Yesterday, the driver, a nice man, was 20 minutes late as I waited in the cold, delivered me to an incorrect address, then was surprised when I gave him my home address far away because he had no record of it. 
The expense was more than double what it should have been. Then adding insult to injury Uber charged me for a cancelled trip which I never made or cancelled. Trying to get to Uber to rectify these probs was wending my way through an algorithm labyrinth. For the sake of customer service, Uber must devise a quicker and more civilized way of responding to inadequate, overcharged service. Uber's faults wherever I can online. I will continue to broadcast Uber's problems online.

                    
                "
12,"Original review: Jan. 30, 2020
I stopped driving for Uber in August of 2019. It is now February 2020 and I'm getting the runaround from Uber driver support about my tax documents. I've placed several phone calls to gain access to my account. All I get is responses regarding why I stopped driving for Uber. Their CSR agents have an awful time understanding me, and I them. Never work for Uber...Never ride with Uber."
13,"Original review: Jan. 29, 2020
We called for a Uber and after booking told the driver we have a dog to let him know before he came. The driver was fine with it and said ok. The following day got a charge of 150 dollars more than quoted. You try to ask for help from this company and it’s like asking your 4 year old daughter for help. This company is the worst. I’ll never use them again. I would give negative stars but can’t. Completely ** company, never never use."
14,"Original review: Jan. 29, 2020
On January 18, 2020, I made a ½ hour trip with Uber near Quito, Ecuador. The agreed fee was $ 8.95. The same night, Uber charged me $71.58 on my Visa card. The email receipt showed a map with a trip I did not take. It appears that my driver, Franklin **, continued driving and charged me for the extra trip. When I contacted Uber (submitting all the details as requested in the app), they deleted my account, saying they had detected some irregularities. I have been trying for days to resolve this issue, including attempts to reactivate my account, but the app won’t let me. I continue to get the same automated responses by email, directing me to use the app (which I can't do). There is no phone number, so I have no recourse to getting a refund. Although in this case it appears the driver was fraudulent, it is unacceptable that Uber provides no method for resolving the issue. BEWARE OF UBER. I will probably never use them again."
15,"Original review: Jan. 26, 2020
I took a airport to airport from my hotel in Las WBA’s. The amount said I will be charged $14 plus some change. When the Uber arrived I informed the driver that I am taking domestic flight and want to go to domestic terminal. The driver said, ""I don’t speak English."" I kept telling him I want to go to domestic. He kept saying, ""Okay okay."" Finally when he took a turn I realized he was taking me to the international terminaI. I said, ""This is the wrong terminal."" He pulled over and pulled over his phone and asked me to talk into his phone translator. This he did after driving for 20 minutes and not listening to me. I even mentioned the name of the airline went I first enter the car. Did not understood a word of English and in spite of complaining to the Uber customer service they still charged twice as much. I will never take Uber again as they have my credit so they charged me doubled for having a driver who did not spoke a word of English in a US city."
16,"Original review: Jan. 25, 2020
I used this company yesterday for 1st time. Ok but driver had an attitude about where I sat and the distance. Today I was watching the app to see where he was - right at the time I expected him to drive in the drive - it said cancelled. I had to be at work very soon. I do not like to drive or walk in this snowy, icy weather so I called them. I had to drive to work - walk across icy parking lot - at the last minute. And then they charge me a stupid fee because he traveled a distance. The addresses listed were not even the right ones. I got an Uber credit - now why would I want to use this company again!!!! I am a Sr Citizen - my money is tight and I need a refund on my card not a credit. What a bunch of crap!!!"
17,"Original review: Jan. 23, 2020
Uber drivers see my name and cancel rides all the time. I am a ** female. I don’t have a criminal background and I worked for Uber for some time about a year ago until I sold everything and moved to another city to continue my education. I have had rides cancel on me while I’m waiting for them to arrive. After Uber says they are en route to me. Here is where it gets really crazy. On top of that Uber charged me each time 5.00 for a cancellation fee. That the drivers canceled on me. I really read all about statistics showing that drivers are 4 time more likely to cancel rides with a person with a name that sounds like an ** name and so forth so I know this is the case. However, I find this so disheartening that Uber who knows it is people of all races keeping this business thriving is allowing this and topping it off with charging a 5.00 cancellation fee after you have been discriminated against. 
Today I disputed all of the past charges because when you're in a rush and trying to get somewhere you tend to forget and move on but I sorted everything out and asked Uber if they would like to refund my money in full because I didn’t cancel the rides and Uber only paid for one ride when there were quite a few 7.00 rides and the drivers canceled and they refunded me 2 dollars and kept the rest. Unbelievable and a smack in the face on top of the discrimination and I just want everyone out there to know what they are doing. If you know anything about the law or plan a class action lawsuit Please include me. I would like to be a voice to stop this business.

                    
                "
18,"Original review: Jan. 22, 2020
Uber is so inconsiderate. Pool at peak time costs 12$-14$ for 3 miles!! Maximum time is is so cumbersome to get a ride and on top of it very stingy to offer something nice. Does not uber strive for excellence and customer service? Good algorithm, good service and good deals for extensive using customers will be a business growth strategy. What’s going on??"
19,"Original review: Jan. 21, 2020
I had been abroad and the cab driver had cancelled the cab. This is visible in app but I am not able to book cab. While booking get a message can't book earlier outstanding. There is no way I can reach concerned and get this sorted."
20,"Original review: Jan. 20, 2020
While in the Uber, another person threw up down their shirt (gross, but it detained the mess). The uber driver lied and said I would be charged $350 through uber and wouldn’t let me leave until I Venmoed her $200. I contacted uber where they reimbursed me $7 for the ride, however the driver was not held accountable. I know that we should’ve charged through uber but my friend was sick and I wanted to get them home quickly, and I couldn’t do that when we were locked inside an uber outside of my building. Wish that uber would have helped better with this situation."
21,"Original review: Jan. 16, 2020
Unfair fare policies! Uber doesn't even disclose money charged for each Km! And are not willing to refund for example for charging exorbitantly high 300/- for 1.75kms!! Am a more than 5 year old customer with Uber!!!!"
22,"Original review: Jan. 15, 2020
I requested an Uber in London (as a tourist) to the airport. The driver missed the exit because he was distracted with his phone. We arrived 45 minutes late and were charged for the whole trip. I requested a refund but was only given Uber credits in £ to use in the UK. We don't live in the UK so we can't use them. I asked several times for the refund but they say they can't do more than give me credit."
23,"Original review: Jan. 14, 2020
I reached out to Uber a couple times through their side menu ""Help"" in order to request a refund when I was overcharged for a trip. Unfortunately, it's very hard to get in touch with an agent, as they don't send emails to verify they've received the message. I had to keep checking in with the app, looking up ""Help"" and ""Messages"" to see if they'd replied. In the end, I had to get in touch with my credit card company to verify the refund. It would be much better if customers could have a more straightforward feedback channel. A call line would be even better. Seeing as how this is a multinational corporation, customers should be able to call with concerns that don't involve criminal activity."
24,"Original review: Jan. 11, 2020
On 1/9/2020 at 05/25 pm I booked on Uber and was accepted a trip to the ER at a local hospital. I asked the driver twice about his whereabouts and twice repeated my location. At 05:34 he (not me) canceled the trip. I was charged a $6.00 cancellation fee. Because the trip was canceled it does not show up in ""My Trips"" and I am not able to challenge this charge. I have found no way to get in touch with Uber otherwise."
25,"Original review: Jan. 11, 2020
I had booked a car today morning for going to the airport. They suddenly canceled the service and I missed my flight. Such a worst service being offered by such companies should be taken at utmost importance."
26,"Original review: Jan. 11, 2020
If you want to be stranded, robbed and cold and hungry late or not even get there call Uber, horrible experiences 2 out of 5. Now put money on your acct for it to say having problem. Can't get money back. Can't get Uber. It's literally robbery and I will write 2 reviews a day until something is done about this, I'm just thankful my wife was able to arrange a way to pick up our son or he'd be cold hungry. This is the most ever a business or services absolute worse I've ever sealed with and I've dealt with bad ones before. Do not get robbed. Save your money. Do not call uber."
27,"Original review: Jan. 10, 2020
In New York city we went from under 6000 cabs to over 136000. Most unreliable service. People are losing jobs, custody and money paid for congestion fees, congestion created by the high number of cabs on the same infrastructure we had 100 years ago. Drivers are not able to drive, shower or understanding English in most of the situations. They are always late, if they show up to pick you up, and have an attitude if you bring it up in any shape or form. Uber doesn't have a customer service as they don't care much as long as the stream of cash keeps coming in. I personally started writing to my legislators and the City Hall offices. It is outrageous and apparently out of anyone's control. They have been banned in many countries around the world, and if 130000 extra cars on the roads didn't improve anything, maybe it is time to stop this costly experiment on the taxpayers money."
